,experiment,episode,reward,step,epsilon
427,prioritized,427,233.0,51318,0.01
428,prioritized,428,606.0,51422,0.01
429,prioritized,429,250.0,51449,0.01
430,prioritized,430,1341.0,51631,0.01
431,prioritized,431,639.0,51704,0.01
432,prioritized,432,608.0,51803,0.01
433,prioritized,433,625.0,51884,0.01
434,prioritized,434,243.0,51913,0.01
435,prioritized,435,1350.0,52044,0.01
436,prioritized,436,1041.0,52306,0.01
437,prioritized,437,1025.0,52514,0.01
438,prioritized,438,635.0,52588,0.01
439,prioritized,439,607.0,52655,0.01
440,prioritized,440,1039.0,52827,0.01
441,prioritized,441,252.0,52854,0.01
442,prioritized,442,1337.0,53057,0.01
443,prioritized,443,551.0,53423,0.01
444,prioritized,444,638.0,53568,0.01
445,prioritized,445,611.0,53850,0.01
446,prioritized,446,640.0,53988,0.01
447,prioritized,447,1042.0,54120,0.01
448,prioritized,448,1025.0,54354,0.01
449,prioritized,449,251.0,54381,0.01
450,prioritized,450,810.0,54546,0.01
451,prioritized,451,613.0,54615,0.01
452,prioritized,452,229.0,54649,0.01
453,prioritized,453,635.0,54812,0.01
454,prioritized,454,248.0,54840,0.01
455,prioritized,455,235.0,54889,0.01
456,prioritized,456,614.0,54948,0.01
457,prioritized,457,1043.0,55107,0.01
458,prioritized,458,625.0,55192,0.01
459,prioritized,459,243.0,55221,0.01
460,prioritized,460,243.0,55250,0.01
461,prioritized,461,237.0,55282,0.01
462,prioritized,462,252.0,55309,0.01
463,prioritized,463,1045.0,55486,0.01
464,prioritized,464,741.0,55639,0.01
465,prioritized,465,634.0,55715,0.01
466,prioritized,466,1563.0,55986,0.01
467,prioritized,467,250.0,56013,0.01
468,prioritized,468,246.0,56042,0.01
469,prioritized,469,1037.0,56220,0.01
470,prioritized,470,605.0,56309,0.01
471,prioritized,471,752.0,56422,0.01
472,prioritized,472,635.0,56495,0.01
473,prioritized,473,1418.0,56747,0.01
474,prioritized,474,616.0,56824,0.01
475,prioritized,475,1045.0,56961,0.01
476,prioritized,476,612.0,57020,0.01
477,prioritized,477,796.0,57255,0.01
478,prioritized,478,249.0,57282,0.01
479,prioritized,479,619.0,57357,0.01
480,prioritized,480,252.0,57384,0.01
481,prioritized,481,252.0,57411,0.01
482,prioritized,482,633.0,57494,0.01
483,prioritized,483,1338.0,57670,0.01
484,prioritized,484,249.0,57697,0.01
485,prioritized,485,1036.0,57873,0.01
486,prioritized,486,606.0,57944,0.01
487,prioritized,487,246.0,57971,0.01
488,prioritized,488,634.0,58040,0.01
489,prioritized,489,1327.0,58277,0.01
490,prioritized,490,816.0,58413,0.01
491,prioritized,491,249.0,58440,0.01
492,prioritized,492,1328.0,58658,0.01
493,prioritized,493,624.0,58749,0.01
494,prioritized,494,1055.0,58919,0.01
495,prioritized,495,609.0,58977,0.01
496,prioritized,496,1038.0,59245,0.01
497,prioritized,497,250.0,59272,0.01
498,prioritized,498,641.0,59406,0.01
499,prioritized,499,808.0,59582,0.01
500,prioritized,500,621.0,59649,0.01
501,prioritized,501,598.0,59757,0.01
502,prioritized,502,1041.0,60025,0.01
503,prioritized,503,1341.0,60218,0.01
504,prioritized,504,612.0,60317,0.01
505,prioritized,505,241.0,60347,0.01
506,prioritized,506,1040.0,60505,0.01
507,prioritized,507,1012.0,60743,0.01
508,prioritized,508,234.0,60777,0.01
509,prioritized,509,250.0,60804,0.01
510,prioritized,510,609.0,60866,0.01
511,prioritized,511,1031.0,61050,0.01
512,prioritized,512,779.0,61371,0.01
513,prioritized,513,225.0,61406,0.01
514,prioritized,514,611.0,61464,0.01
515,prioritized,515,248.0,61491,0.01
516,prioritized,516,250.0,61519,0.01
517,prioritized,517,604.0,61591,0.01
518,prioritized,518,251.0,61618,0.01
519,prioritized,519,252.0,61645,0.01
520,prioritized,520,817.0,61778,0.01
521,prioritized,521,1004.0,62106,0.01
522,prioritized,522,613.0,62170,0.01
523,prioritized,523,654.0,62239,0.01
524,prioritized,524,606.0,62303,0.01
525,prioritized,525,606.0,62385,0.01
526,prioritized,526,1429.0,62563,0.01
527,prioritized,527,250.0,62591,0.01
528,prioritized,528,1318.0,62812,0.01
529,prioritized,529,1330.0,63059,0.01
530,prioritized,530,1037.0,63280,0.01
531,prioritized,531,252.0,63307,0.01
532,prioritized,532,633.0,63385,0.01
533,prioritized,533,611.0,63447,0.01
534,prioritized,534,233.0,63480,0.01
535,prioritized,535,608.0,63592,0.01
536,prioritized,536,251.0,63619,0.01
537,prioritized,537,1684.0,63821,0.01
538,prioritized,538,607.0,63898,0.01
539,prioritized,539,757.0,64318,0.01
540,prioritized,540,615.0,64391,0.01
541,prioritized,541,1313.0,64594,0.01
542,prioritized,542,1051.0,64736,0.01
543,prioritized,543,628.0,64822,0.01
544,prioritized,544,1011.0,65066,0.01
545,prioritized,545,628.0,65144,0.01
546,prioritized,546,603.0,65235,0.01
547,prioritized,547,609.0,65305,0.01
548,prioritized,548,247.0,65333,0.01
549,prioritized,549,246.0,65360,0.01
550,prioritized,550,1423.0,65557,0.01
551,prioritized,551,234.0,65590,0.01
552,prioritized,552,1143.0,65784,0.01
553,prioritized,553,608.0,65919,0.01
554,prioritized,554,627.0,65987,0.01
555,prioritized,555,602.0,66073,0.01
556,prioritized,556,246.0,66100,0.01
557,prioritized,557,248.0,66127,0.01
558,prioritized,558,635.0,66203,0.01
559,prioritized,559,791.0,66397,0.01
560,prioritized,560,1311.0,66677,0.01
561,prioritized,561,1025.0,66944,0.01
562,prioritized,562,817.0,67078,0.01
563,prioritized,563,630.0,67153,0.01
564,prioritized,564,1009.0,67500,0.01
565,prioritized,565,240.0,67531,0.01
566,prioritized,566,614.0,67603,0.01
567,prioritized,567,1332.0,67821,0.01
568,prioritized,568,1047.0,67942,0.01
569,prioritized,569,806.0,68128,0.01
570,prioritized,570,632.0,68240,0.01
571,prioritized,571,624.0,68305,0.01
572,prioritized,572,244.0,68334,0.01
573,prioritized,573,228.0,68368,0.01
574,prioritized,574,1340.0,68556,0.01
575,prioritized,575,1415.0,68830,0.01
576,prioritized,576,1566.0,69071,0.01
577,prioritized,577,248.0,69098,0.01
578,prioritized,578,614.0,69187,0.01
579,prioritized,579,624.0,69278,0.01
580,prioritized,580,638.0,69424,0.01
581,prioritized,581,1327.0,69580,0.01
582,prioritized,582,1329.0,69817,0.01
583,prioritized,583,819.0,69939,0.01
584,prioritized,584,236.0,69972,0.01
585,prioritized,585,1338.0,70159,0.01
586,prioritized,586,230.0,70192,0.01
587,prioritized,587,1313.0,70421,0.01
588,prioritized,588,639.0,70499,0.01
589,prioritized,589,610.0,70574,0.01
590,prioritized,590,230.0,70607,0.01
591,prioritized,591,622.0,70680,0.01
592,prioritized,592,1340.0,70865,0.01
593,prioritized,593,1336.0,71079,0.01
594,prioritized,594,1041.0,71287,0.01
595,prioritized,595,1324.0,71439,0.01
596,prioritized,596,236.0,71472,0.01
597,prioritized,597,1042.0,71632,0.01
598,prioritized,598,1042.0,71880,0.01
599,prioritized,599,604.0,71984,0.01
600,prioritized,600,1346.0,72155,0.01
601,prioritized,601,610.0,72232,0.01
602,prioritized,602,237.0,72264,0.01
603,prioritized,603,1033.0,72455,0.01
604,prioritized,604,221.0,72492,0.01
605,prioritized,605,628.0,72575,0.01
606,prioritized,606,1023.0,72815,0.01
607,prioritized,607,1034.0,73009,0.01
608,prioritized,608,1147.0,73218,0.01
609,prioritized,609,1917.0,73471,0.01
610,prioritized,610,237.0,73505,0.01
611,prioritized,611,1042.0,73638,0.01
612,prioritized,612,1309.0,73960,0.01
613,prioritized,613,621.0,74047,0.01
614,prioritized,614,243.0,74076,0.01
615,prioritized,615,721.0,74278,0.01
616,prioritized,616,1050.0,74409,0.01
617,prioritized,617,247.0,74437,0.01
618,prioritized,618,1337.0,74657,0.01
619,prioritized,619,635.0,74736,0.01
620,prioritized,620,1025.0,74949,0.01
621,prioritized,621,1318.0,75163,0.01
622,prioritized,622,606.0,75237,0.01
623,prioritized,623,638.0,75313,0.01
624,prioritized,624,243.0,75342,0.01
625,prioritized,625,1157.0,75497,0.01
626,prioritized,626,817.0,75629,0.01
627,prioritized,627,1023.0,75876,0.01
628,prioritized,628,236.0,75909,0.01
629,prioritized,629,612.0,75983,0.01
630,prioritized,630,240.0,76018,0.01
631,prioritized,631,630.0,76108,0.01
632,prioritized,632,1047.0,76227,0.01
633,prioritized,633,615.0,76298,0.01
634,prioritized,634,1024.0,76531,0.01
635,prioritized,635,248.0,76566,0.01
636,prioritized,636,620.0,76691,0.01
637,prioritized,637,249.0,76718,0.01
638,prioritized,638,1037.0,76886,0.01
639,prioritized,639,1341.0,77074,0.01
640,prioritized,640,609.0,77150,0.01
641,prioritized,641,1432.0,77301,0.01
642,prioritized,642,238.0,77333,0.01
643,prioritized,643,1311.0,77550,0.01
644,prioritized,644,610.0,77616,0.01
645,prioritized,645,1337.0,77793,0.01
646,prioritized,646,605.0,77889,0.01
647,prioritized,647,1326.0,78146,0.01
648,prioritized,648,612.0,78223,0.01
649,prioritized,649,615.0,78307,0.01
650,prioritized,650,631.0,78399,0.01
651,prioritized,651,608.0,78493,0.01
652,prioritized,652,618.0,78561,0.01
653,prioritized,653,240.0,78597,0.01
654,prioritized,654,1338.0,78793,0.01
655,prioritized,655,1338.0,78981,0.01
656,prioritized,656,251.0,79008,0.01
657,prioritized,657,622.0,79085,0.01
658,prioritized,658,609.0,79144,0.01
659,prioritized,659,247.0,79173,0.01
660,prioritized,660,250.0,79201,0.01
661,prioritized,661,606.0,79286,0.01
662,prioritized,662,653.0,79359,0.01
663,prioritized,663,245.0,79387,0.01
664,prioritized,664,612.0,79464,0.01
665,prioritized,665,1052.0,79651,0.01
666,prioritized,666,607.0,79709,0.01
667,prioritized,667,633.0,79791,0.01
668,prioritized,668,243.0,79819,0.01
669,prioritized,669,1336.0,80009,0.01
670,prioritized,670,250.0,80036,0.01
671,prioritized,671,1286.0,80401,0.01
672,prioritized,672,638.0,80472,0.01
673,prioritized,673,609.0,80556,0.01
674,prioritized,674,1325.0,80801,0.01
675,prioritized,675,246.0,80829,0.01
676,prioritized,676,613.0,80905,0.01
677,prioritized,677,250.0,80932,0.01
678,prioritized,678,629.0,81011,0.01
679,prioritized,679,800.0,81147,0.01
680,prioritized,680,1686.0,81361,0.01
681,prioritized,681,1342.0,81530,0.01
682,prioritized,682,777.0,81650,0.01
683,prioritized,683,1306.0,81924,0.01
684,prioritized,684,611.0,81982,0.01
685,prioritized,685,1032.0,82192,0.01
686,prioritized,686,634.0,82276,0.01
